nama_bahan,porsi_standar,energi_kcal,protein_g,lemak_g,karbohidrat_g,zat_besi_mg,kalsium_mg,kategori,catatan_ibu_hamil
Tahu Goreng Kuning,1 potong (50g),58,4.1,4.2,1.4,1.7,40,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Goreng Kuning (Porsi Kecil),1/2 porsi,29.0,2.0,2.1,0.7,0.8,20.0,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Goreng Kuning (Porsi Besar),1.5 porsi,87.0,6.1,6.3,2.1,2.5,60.0,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Goreng Kuning (1 Piring / Mangkok),1 piring,69.6,4.9,5.0,1.7,2.0,48.0,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Goreng Kuning Olahan Spesial,1 porsi spesial,75.4,5.3,5.5,1.8,2.2,52.0,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Goreng Kuning Porsi Cemilan,1 potong kecil,17.4,1.2,1.3,0.4,0.5,12.0,Lauk Pauk Nabati,Kalsium nabati tinggi
Tahu Bacem,1 potong (50g),75,4.8,2.5,8.0,1.8,48,Lauk Pauk Nabati,Ringan di lambung
Tahu Bacem (Porsi Kecil),1/2 porsi,37.5,2.4,1.2,4.0,0.9,24.0,Lauk Pauk Nabati,Ringan di lambung
Tahu Bacem (Porsi Besar),1.5 porsi,112.5,7.2,3.8,12.0,2.7,72.0,Lauk Pauk Nabati,Ringan di lambung
Tahu Bacem (1 Piring / Mangkok),1 piring,90.0,5.8,3.0,9.6,2.2,57.6,Lauk Pauk Nabati,Ringan di lambung
Tahu Bacem Olahan Spesial,1 porsi spesial,97.5,6.2,3.2,10.4,2.3,62.4,Lauk Pauk Nabati,Ringan di lambung
Tahu Bacem Porsi Cemilan,1 potong kecil,22.5,1.4,0.8,2.4,0.5,14.4,Lauk Pauk Nabati,Ringan di lambung
Kacang Hijau Rebus,1 mangkuk (150g),160,10.0,1.0,28.0,2.5,65,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Hijau Rebus (Porsi Kecil),1/2 porsi,80.0,5.0,0.5,14.0,1.2,32.5,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Hijau Rebus (Porsi Besar),1.5 porsi,240.0,15.0,1.5,42.0,3.8,97.5,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Hijau Rebus (1 Piring / Mangkok),1 piring,192.0,12.0,1.2,33.6,3.0,78.0,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Hijau Rebus Olahan Spesial,1 porsi spesial,208.0,13.0,1.3,36.4,3.2,84.5,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Hijau Rebus Porsi Cemilan,1 potong kecil,48.0,3.0,0.3,8.4,0.8,19.5,Lauk Pauk Nabati,Sangat bagus untuk asam folat & produksi ASI
Kacang Tanah Rebus,1 genggam (40g),165,7.0,13.0,6.0,1.1,25,Lauk Pauk Nabati,Kaya vitamin E & protein
Kacang Tanah Rebus (Porsi Kecil),1/2 porsi,82.5,3.5,6.5,3.0,0.6,12.5,Lauk Pauk Nabati,Kaya vitamin E & protein
Kacang Tanah Rebus (Porsi Besar),1.5 porsi,247.5,10.5,19.5,9.0,1.7,37.5,Lauk Pauk Nabati,Kaya vitamin E & protein
Kacang Tanah Rebus (1 Piring / Mangkok),1 piring,198.0,8.4,15.6,7.2,1.3,30.0,Lauk Pauk Nabati,Kaya vitamin E & protein
Kacang Tanah Rebus Olahan Spesial,1 porsi spesial,214.5,9.1,16.9,7.8,1.4,32.5,Lauk Pauk Nabati,Kaya vitamin E & protein
Kacang Tanah Rebus Porsi Cemilan,1 potong kecil,49.5,2.1,3.9,1.8,0.3,7.5,Lauk Pauk Nabati,Kaya vitamin E & protein
Sayur Bayam Bening,1 mangkuk (100g),23,2.9,0.4,3.6,3.5,166,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Bayam Bening (Porsi Kecil),1/2 porsi,11.5,1.4,0.2,1.8,1.8,83.0,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Bayam Bening (Porsi Besar),1.5 porsi,34.5,4.3,0.6,5.4,5.2,249.0,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Bayam Bening (1 Piring / Mangkok),1 piring,27.6,3.5,0.5,4.3,4.2,199.2,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Bayam Bening Olahan Spesial,1 porsi spesial,29.9,3.8,0.5,4.7,4.5,215.8,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Bayam Bening Porsi Cemilan,1 potong kecil,6.9,0.9,0.1,1.1,1.1,49.8,Sayuran,Sangat kaya Zat Besi & Asam Folat
Sayur Kangkung Tumis,1 mangkuk (100g),45,2.6,2.5,3.5,2.5,67,Sayuran,Kaya serat penolak konstipasi
Sayur Kangkung Tumis (Porsi Kecil),1/2 porsi,22.5,1.3,1.2,1.8,1.2,33.5,Sayuran,Kaya serat penolak konstipasi
Sayur Kangkung Tumis (Porsi Besar),1.5 porsi,67.5,3.9,3.8,5.2,3.8,100.5,Sayuran,Kaya serat penolak konstipasi
Sayur Kangkung Tumis (1 Piring / Mangkok),1 piring,54.0,3.1,3.0,4.2,3.0,80.4,Sayuran,Kaya serat penolak konstipasi
Sayur Kangkung Tumis Olahan Spesial,1 porsi spesial,58.5,3.4,3.2,4.5,3.2,87.1,Sayuran,Kaya serat penolak konstipasi
Sayur Kangkung Tumis Porsi Cemilan,1 potong kecil,13.5,0.8,0.8,1.1,0.8,20.1,Sayuran,Kaya serat penolak konstipasi
Sayur Daun Katuk,1 mangkuk (100g),35,4.0,0.6,4.5,2.8,220,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Katuk (Porsi Kecil),1/2 porsi,17.5,2.0,0.3,2.2,1.4,110.0,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Katuk (Porsi Besar),1.5 porsi,52.5,6.0,0.9,6.8,4.2,330.0,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Katuk (1 Piring / Mangkok),1 piring,42.0,4.8,0.7,5.4,3.4,264.0,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Katuk Olahan Spesial,1 porsi spesial,45.5,5.2,0.8,5.9,3.6,286.0,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Katuk Porsi Cemilan,1 potong kecil,10.5,1.2,0.2,1.3,0.8,66.0,Sayuran,Sangat tinggi Kalsium & persiapan ASI
Sayur Daun Kelor,1 mangkuk (100g),38,4.5,0.8,5.0,4.0,250,Sayuran,Superfood zat besi & antioksidan
Sayur Daun Kelor (Porsi Kecil),1/2 porsi,19.0,2.2,0.4,2.5,2.0,125.0,Sayuran,Superfood zat besi & antioksidan
Sayur Daun Kelor (Porsi Besar),1.5 porsi,57.0,6.8,1.2,7.5,6.0,375.0,Sayuran,Superfood zat besi & antioksidan
Sayur Daun Kelor (1 Piring / Mangkok),1 piring,45.6,5.4,1.0,6.0,4.8,300.0,Sayuran,Superfood zat besi & antioksidan
Sayur Daun Kelor Olahan Spesial,1 porsi spesial,49.4,5.9,1.0,6.5,5.2,325.0,Sayuran,Superfood zat besi & antioksidan
Sayur Daun Kelor Porsi Cemilan,1 potong kecil,11.4,1.3,0.2,1.5,1.2,75.0,Sayuran,Superfood zat besi & antioksidan
Sayur Sop Bening,1 mangkuk (150g),45,1.5,1.0,7.5,0.7,30,Sayuran,Hidrasi cairan & vitamin
Sayur Sop Bening (Porsi Kecil),1/2 porsi,22.5,0.8,0.5,3.8,0.3,15.0,Sayuran,Hidrasi cairan & vitamin
Sayur Sop Bening (Porsi Besar),1.5 porsi,67.5,2.2,1.5,11.2,1.0,45.0,Sayuran,Hidrasi cairan & vitamin
Sayur Sop Bening (1 Piring / Mangkok),1 piring,54.0,1.8,1.2,9.0,0.8,36.0,Sayuran,Hidrasi cairan & vitamin
Sayur Sop Bening Olahan Spesial,1 porsi spesial,58.5,2.0,1.3,9.8,0.9,39.0,Sayuran,Hidrasi cairan & vitamin
Sayur Sop Bening Porsi Cemilan,1 potong kecil,13.5,0.4,0.3,2.2,0.2,9.0,Sayuran,Hidrasi cairan & vitamin
Sayur Asem Jakarta,1 mangkuk (150g),55,2.0,1.2,9.5,1.1,45,Sayuran,Pereda mual alami
Sayur Asem Jakarta (Porsi Kecil),1/2 porsi,27.5,1.0,0.6,4.8,0.6,22.5,Sayuran,Pereda mual alami
Sayur Asem Jakarta (Porsi Besar),1.5 porsi,82.5,3.0,1.8,14.2,1.7,67.5,Sayuran,Pereda mual alami
Sayur Asem Jakarta (1 Piring / Mangkok),1 piring,66.0,2.4,1.4,11.4,1.3,54.0,Sayuran,Pereda mual alami
Sayur Asem Jakarta Olahan Spesial,1 porsi spesial,71.5,2.6,1.6,12.3,1.4,58.5,Sayuran,Pereda mual alami
Sayur Asem Jakarta Porsi Cemilan,1 potong kecil,16.5,0.6,0.4,2.9,0.3,13.5,Sayuran,Pereda mual alami
Gado-Gado Surabaya,1 porsi (200g),240,10.0,11.0,25.0,3.2,120,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Gado-Gado Surabaya (Porsi Kecil),1/2 porsi,120.0,5.0,5.5,12.5,1.6,60.0,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Gado-Gado Surabaya (Porsi Besar),1.5 porsi,360.0,15.0,16.5,37.5,4.8,180.0,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Gado-Gado Surabaya (1 Piring / Mangkok),1 piring,288.0,12.0,13.2,30.0,3.8,144.0,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Gado-Gado Surabaya Olahan Spesial,1 porsi spesial,312.0,13.0,14.3,32.5,4.2,156.0,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Gado-Gado Surabaya Porsi Cemilan,1 potong kecil,72.0,3.0,3.3,7.5,1.0,36.0,Sayuran & Komposisi,Lengkap nutrisi mikro & makro
Pecel Sayur,1 porsi (150g),210,8.0,10.0,22.0,2.8,110,Sayuran,Kacang & sayuran hijau tinggi folat
Pecel Sayur (Porsi Kecil),1/2 porsi,105.0,4.0,5.0,11.0,1.4,55.0,Sayuran,Kacang & sayuran hijau tinggi folat
Pecel Sayur (Porsi Besar),1.5 porsi,315.0,12.0,15.0,33.0,4.2,165.0,Sayuran,Kacang & sayuran hijau tinggi folat
Pecel Sayur (1 Piring / Mangkok),1 piring,252.0,9.6,12.0,26.4,3.4,132.0,Sayuran,Kacang & sayuran hijau tinggi folat
Pecel Sayur Olahan Spesial,1 porsi spesial,273.0,10.4,13.0,28.6,3.6,143.0,Sayuran,Kacang & sayuran hijau tinggi folat
Pecel Sayur Porsi Cemilan,1 potong kecil,63.0,2.4,3.0,6.6,0.8,33.0,Sayuran,Kacang & sayuran hijau tinggi folat
Buah Pisang Ambon,1 buah (100g),89,1.1,0.3,22.8,0.3,5,Buah,Kalium & B6 pereda mual
Buah Pisang Ambon (Porsi Kecil),1/2 porsi,44.5,0.6,0.1,11.4,0.1,2.5,Buah,Kalium & B6 pereda mual
Buah Pisang Ambon (Porsi Besar),1.5 porsi,133.5,1.7,0.4,34.2,0.4,7.5,Buah,Kalium & B6 pereda mual
Buah Pisang Ambon (1 Piring / Mangkok),1 piring,106.8,1.3,0.4,27.4,0.4,6.0,Buah,Kalium & B6 pereda mual
Buah Pisang Ambon Olahan Spesial,1 porsi spesial,115.7,1.4,0.4,29.6,0.4,6.5,Buah,Kalium & B6 pereda mual
Buah Pisang Ambon Porsi Cemilan,1 potong kecil,26.7,0.3,0.1,6.8,0.1,1.5,Buah,Kalium & B6 pereda mual
Buah Jeruk Keprok,1 buah (100g),47,0.9,0.1,11.8,0.1,40,Buah,Vitamin C tinggi penyerap zat besi
Buah Jeruk Keprok (Porsi Kecil),1/2 porsi,23.5,0.5,0.1,5.9,0.1,20.0,Buah,Vitamin C tinggi penyerap zat besi
Buah Jeruk Keprok (Porsi Besar),1.5 porsi,70.5,1.4,0.2,17.7,0.2,60.0,Buah,Vitamin C tinggi penyerap zat besi
Buah Jeruk Keprok (1 Piring / Mangkok),1 piring,56.4,1.1,0.1,14.2,0.1,48.0,Buah,Vitamin C tinggi penyerap zat besi
Buah Jeruk Keprok Olahan Spesial,1 porsi spesial,61.1,1.2,0.1,15.3,0.1,52.0,Buah,Vitamin C tinggi penyerap zat besi
Buah Jeruk Keprok Porsi Cemilan,1 potong kecil,14.1,0.3,0.0,3.5,0.0,12.0,Buah,Vitamin C tinggi penyerap zat besi
Buah Alpukat,1 buah (150g),240,3.0,22.0,12.0,0.9,18,Buah,Lemak sehat pembentuk otak janin
Buah Alpukat (Porsi Kecil),1/2 porsi,120.0,1.5,11.0,6.0,0.5,9.0,Buah,Lemak sehat pembentuk otak janin
Buah Alpukat (Porsi Besar),1.5 porsi,360.0,4.5,33.0,18.0,1.4,27.0,Buah,Lemak sehat pembentuk otak janin
Buah Alpukat (1 Piring / Mangkok),1 piring,288.0,3.6,26.4,14.4,1.1,21.6,Buah,Lemak sehat pembentuk otak janin
Buah Alpukat Olahan Spesial,1 porsi spesial,312.0,3.9,28.6,15.6,1.2,23.4,Buah,Lemak sehat pembentuk otak janin
Buah Alpukat Porsi Cemilan,1 potong kecil,72.0,0.9,6.6,3.6,0.3,5.4,Buah,Lemak sehat pembentuk otak janin
Buah Pepaya Matang,1 potong (100g),46,0.5,0.1,12.0,1.7,23,Buah,Atasi sembelit kehamilan
Buah Pepaya Matang (Porsi Kecil),1/2 porsi,23.0,0.2,0.1,6.0,0.8,11.5,Buah,Atasi sembelit kehamilan
Buah Pepaya Matang (Porsi Besar),1.5 porsi,69.0,0.8,0.2,18.0,2.5,34.5,Buah,Atasi sembelit kehamilan
Buah Pepaya Matang (1 Piring / Mangkok),1 piring,55.2,0.6,0.1,14.4,2.0,27.6,Buah,Atasi sembelit kehamilan
Buah Pepaya Matang Olahan Spesial,1 porsi spesial,59.8,0.7,0.1,15.6,2.2,29.9,Buah,Atasi sembelit kehamilan
Buah Pepaya Matang Porsi Cemilan,1 potong kecil,13.8,0.1,0.0,3.6,0.5,6.9,Buah,Atasi sembelit kehamilan
Buah Mangga Arumanis,1 buah (150g),90,0.8,0.3,22.5,0.2,14,Buah,Tinggi Vitamin A & C
Buah Mangga Arumanis (Porsi Kecil),1/2 porsi,45.0,0.4,0.1,11.2,0.1,7.0,Buah,Tinggi Vitamin A & C
Buah Mangga Arumanis (Porsi Besar),1.5 porsi,135.0,1.2,0.4,33.8,0.3,21.0,Buah,Tinggi Vitamin A & C
Buah Mangga Arumanis (1 Piring / Mangkok),1 piring,108.0,1.0,0.4,27.0,0.2,16.8,Buah,Tinggi Vitamin A & C
Buah Mangga Arumanis Olahan Spesial,1 porsi spesial,117.0,1.0,0.4,29.2,0.3,18.2,Buah,Tinggi Vitamin A & C
Buah Mangga Arumanis Porsi Cemilan,1 potong kecil,27.0,0.2,0.1,6.8,0.1,4.2,Buah,Tinggi Vitamin A & C
Buah Naga Merah,1 potong (100g),50,1.0,0.4,11.0,0.6,10,Buah,Serat & antioksidan baik
Buah Naga Merah (Porsi Kecil),1/2 porsi,25.0,0.5,0.2,5.5,0.3,5.0,Buah,Serat & antioksidan baik
Buah Naga Merah (Porsi Besar),1.5 porsi,75.0,1.5,0.6,16.5,0.9,15.0,Buah,Serat & antioksidan baik
Buah Naga Merah (1 Piring / Mangkok),1 piring,60.0,1.2,0.5,13.2,0.7,12.0,Buah,Serat & antioksidan baik
Buah Naga Merah Olahan Spesial,1 porsi spesial,65.0,1.3,0.5,14.3,0.8,13.0,Buah,Serat & antioksidan baik
Buah Naga Merah Porsi Cemilan,1 potong kecil,15.0,0.3,0.1,3.3,0.2,3.0,Buah,Serat & antioksidan baik
Susu Ibu Hamil (Prenatal),1 gelas (200ml),180,8.0,4.5,26.0,6.0,400,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Susu Ibu Hamil (Prenatal) (Porsi Kecil),1/2 porsi,90.0,4.0,2.2,13.0,3.0,200.0,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Susu Ibu Hamil (Prenatal) (Porsi Besar),1.5 porsi,270.0,12.0,6.8,39.0,9.0,600.0,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Susu Ibu Hamil (Prenatal) (1 Piring / Mangkok),1 piring,216.0,9.6,5.4,31.2,7.2,480.0,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Susu Ibu Hamil (Prenatal) Olahan Spesial,1 porsi spesial,234.0,10.4,5.9,33.8,7.8,520.0,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Susu Ibu Hamil (Prenatal) Porsi Cemilan,1 potong kecil,54.0,2.4,1.3,7.8,1.8,120.0,Minuman Nutrisi,"Lengkap Asam Folat, DHA & Kalsium"
Air Kelapa Muda,1 gelas (200ml),46,0.7,0.2,8.9,0.5,48,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Air Kelapa Muda (Porsi Kecil),1/2 porsi,23.0,0.3,0.1,4.5,0.2,24.0,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Air Kelapa Muda (Porsi Besar),1.5 porsi,69.0,1.0,0.3,13.4,0.8,72.0,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Air Kelapa Muda (1 Piring / Mangkok),1 piring,55.2,0.8,0.2,10.7,0.6,57.6,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Air Kelapa Muda Olahan Spesial,1 porsi spesial,59.8,0.9,0.3,11.6,0.7,62.4,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Air Kelapa Muda Porsi Cemilan,1 potong kecil,13.8,0.2,0.1,2.7,0.1,14.4,Minuman Nutrisi,Elektrolit alami anti dehidrasi
Jamu Kunyit Asam,1 gelas (150ml),60,0.2,0.1,15.0,0.3,12,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Kunyit Asam (Porsi Kecil),1/2 porsi,30.0,0.1,0.1,7.5,0.1,6.0,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Kunyit Asam (Porsi Besar),1.5 porsi,90.0,0.3,0.2,22.5,0.4,18.0,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Kunyit Asam (1 Piring / Mangkok),1 piring,72.0,0.2,0.1,18.0,0.4,14.4,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Kunyit Asam Olahan Spesial,1 porsi spesial,78.0,0.3,0.1,19.5,0.4,15.6,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Kunyit Asam Porsi Cemilan,1 potong kecil,18.0,0.1,0.0,4.5,0.1,3.6,Minuman / Herbal,PERINGATAN: Batasi pada trimester 1! Konsultasikan ke bidan.
Jamu Beras Kencur,1 gelas (150ml),90,0.5,0.3,21.0,0.4,15,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
Jamu Beras Kencur (Porsi Kecil),1/2 porsi,45.0,0.2,0.1,10.5,0.2,7.5,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
Jamu Beras Kencur (Porsi Besar),1.5 porsi,135.0,0.8,0.4,31.5,0.6,22.5,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
Jamu Beras Kencur (1 Piring / Mangkok),1 piring,108.0,0.6,0.4,25.2,0.5,18.0,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
Jamu Beras Kencur Olahan Spesial,1 porsi spesial,117.0,0.7,0.4,27.3,0.5,19.5,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
Jamu Beras Kencur Porsi Cemilan,1 potong kecil,27.0,0.1,0.1,6.3,0.1,4.5,Minuman / Herbal,"Hangat, namun hindari konsumsi berlebih saat hamil."
